zipCode,city,district,additionalInfo,street,houseNo,format1,format2,keyWord,locationType,locationName,primaryKeyDeliverySystem,primaryKeyZipRegion,systemID,primaryKeyPF,pfServicetypes,pfAccessibilitytypes,pfClosureperiods,pfOtherinfos,poststationID,opening_hours,latitude,longitude
14197,Berlin,Steglitz,,Kreuznacher Str.,67,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Kiosk und Zeitschriften,4309968,426.0,8,8-4309968,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 330'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 10:00-14:00,52.4669446,13.3116892
14199,Berlin,Schmargendorf,,Kissinger Str.,22,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Backstube Zuckersüß,4316479,464.0,8,8-4316479,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 337'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-18:00; Tu: 09:00-18:00; We: 09:00-18:00; Th: 09:00-18:00; Fr: 09:00-18:00; Sa: 09:00-16:00,52.4786315,13.2967128
12347,Berlin,Britz,,Mohriner Allee,69,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Finanzberatung Elsayad,4322254,635.0,8,8-4322254,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 469'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '16:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 11:00-16:00; Tu: 11:00-16:00; We: 11:00-16:00; Th: 11:00-16:00; Fr: 11:00-16:00; Sa: 12:00-15:00,52.4414998,13.4243222
13051,Berlin,Neu-Hohenschönhausen,,Prerower Platz,1,csbnan7s8n2s3,csbn2s3n1,Postbank Filiale,POSTBANK_FINANCE_CENTER,Postbank Filiale,13730,490.0,8,8-13730,[],[],"[{'type': 'closure', 'fromDate': '2025-10-01T00:00:00+0200', 'toDate': None}]","[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin-Hohenschönhausen 3'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-18:30; Tu: 09:00-18:30; We: 09:00-18:30; Th: 09:00-18:30; Fr: 09:00-18:30; Sa: 09:00-12:00,52.5648683,13.5065706
14057,Berlin,Westend,,Kaiserdamm,33,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,KM Spätkauf,4339013,657.0,8,8-4339013,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 19'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '20:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-20:00; Tu: 09:00-20:00; We: 09:00-20:00; Th: 09:00-20:00; Fr: 09:00-20:00; Sa: 09:00-20:00,52.5100054,13.2780983
12169,Berlin,Steglitz,,Steglitzer Damm,22,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Edeka Supermarkt,4328501,541.0,8,8-4328501,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 414'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:30-18:00; Tu: 09:30-18:00; We: 09:30-18:00; Th: 09:30-18:00; Fr: 09:30-18:00; Sa: 09:30-14:00,52.4506899,13.3395637
14050,Berlin,Westend,,Soorstr.,61-62,csbn7s8n2s3,csbn2s3n1,Poststation,POSTSTATION,Postbank,333,,12,12-333,[],[],[],"[{'type': 'packstation_model', 'content': 'PPL01_S'}, {'type': 'packstn_utilization_mon', 'content': '3'}, {'type': 'packstn_utilization_tue', 'content': '3'}, {'type': 'packstn_utilization_sat', 'content': '3'}, {'type': 'packstn_utilization_sun', 'content': '2'}, {'type': 'packstation_type', 'content': 'POSTSTATION'}, {'type': 'packstn_utilization_wed', 'content': '3'}, {'type': 'packstationPrimaryKefPf', 'content': '1-14050715'}, {'type': 'packstn_utilization_thu', 'content': '2'}, {'type': 'capacity', 'content': '52'}, {'type': 'letterBoxPrimaryKefPf', 'content': '6-25002071'}, {'type': 'packstn_utilization_fri', 'content': '3'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'poststation_nextAction_openUntil', 'content': '13:00'}, {'type': 'poststation_nextAction_day', 'content': 'today'}, {'type': 'poststation_nextAction_openFrom', 'content': '14:00'}, {'type': 'nextAction_type', 'content': 'COLLECTION_TIME'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '17:30'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",333.0,Not available,52.510319,13.2776801
12359,Berlin,Britz,,Parchimer Allee,33,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Kiez Shop,4313238,700.0,8,8-4313238,[],[],[],"[{'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'Bezeichnung', 'content': 'Berlin 474'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '19:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 09:00-16:00,52.4452048,13.454471
12167,Berlin,Steglitz,,Albrechtstr.,114,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Sweet Paper,4316858,745.0,8,8-4316858,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 415'}, {'type': 'christmasHintEN', 'content': ' '}, {'type': 'christmasHintDE', 'content': ' '}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '20:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 09:00-20:00; Tu: 09:00-20:00; We: 09:00-20:00; Th: 09:00-20:00; Fr: 09:00-20:00; Sa: 09:00-19:00,52.4548381,13.3274277
12165,Berlin,Steglitz,,Albrechtstr.,123,csbnan7s8n2s3,csbn2s3n1,Postfiliale,RETAIL_OUTLET,Presse-Tabak-Getränke-Cafe,4339012,597.0,8,8-4339012,[],[],[],"[{'type': 'Bezeichnung', 'content': 'Berlin 810'}, {'type': 'open_all_day', 'content': 'false'}, {'type': 'nextAction_type', 'content': 'OPENINGHOUR'}, {'type': 'nextAction_day', 'content': 'today'}, {'type': 'nextAction_openUntil', 'content': '18:00'}, {'type': 'tt_timestamp', 'content': '35172443056739088'}]",,Mo: 07:00-18:00; Tu: 07:00-18:00; We: 07:00-18:00; Th: 07:00-18:00; Fr: 07:00-18:00; Sa: 08:00-16:00,52.4557555,13.3251562
