zip_code,city,street,house_no,location_type,location_name,id,closure_periods,opening_hours,latitude,longitude
10967,Berlin,Kottbusser Damm,13,RETAIL_OUTLET,Sezgin Yildririm,4111391,[],Mo: 10:00-20:00; Tu: 10:00-20:00; We: 10:00-20:00; Th: 10:00-20:00; Fr: 10:00-20:00; Sa: 10:00-19:00,52.4927855,13.4219581
10961,Berlin,Gneisenaustr.,9,RETAIL_OUTLET,KI-BA Kiosk -Back-Shop,4093180,[],Mo: 00:00-02:00; Tu: 00:00-02:00; We: 06:00-24:00; Th: 06:00-24:00; Fr: 06:00-24:00; Sa: 06:00-24:00; Su: 00:00-03:00,52.4920055,13.3907076
10967,Berlin,Körtestr.,17,RETAIL_OUTLET,Heim Getränke 2,4335329,[],Mo: 09:00-23:00; Tu: 09:00-23:00; We: 09:00-23:00; Th: 09:00-23:00; Fr: 09:00-23:00; Sa: 09:00-23:00,52.490469,13.4104314
10557,Berlin,Otto-Weidt-Platz,14,RETAIL_OUTLET,Golden Bridge,4333802,[],Mo: 10:00-22:00; Tu: 10:00-22:00; We: 10:00-22:00; Th: 10:00-22:00; Fr: 10:00-22:00; Sa: 10:00-22:00,52.5331926,13.3681052
10961,Berlin,Gneisenaustr.,40,RETAIL_OUTLET,POSTFILIALE 547,4293476,[],Mo: 10:00-18:30; Tu: 10:00-18:30; We: 10:00-18:30; Th: 10:00-18:30; Fr: 10:00-18:30; Sa: 11:00-14:00,52.4899945,13.4006005
10997,Berlin,Wrangelstr.,86,RETAIL_OUTLET,Wrangel Shop,4342599,[],Mo: 09:00-16:00; Tu: 09:00-16:00; We: 09:00-16:00; Th: 09:00-16:00; Fr: 09:00-16:00; Sa: 09:00-16:00,52.4990714,13.4410497
10243,Berlin,Kopernikusstr.,6,RETAIL_OUTLET,Kopernikus-Shop,4126263,[],Mo: 08:00-21:00; Tu: 08:00-21:00; We: 08:00-21:00; Th: 08:00-21:00; Fr: 08:00-21:00; Sa: 08:00-18:00,52.5107303,13.4511785
10249,Berlin,Ebertystr.,5,RETAIL_OUTLET,Lotto Post,4323347,"[{'type': 'holiday', 'fromDate': '2025-10-15T00:00:00+0200', 'toDate': '2025-10-18T23:59:59+0200'}]",Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 10:00-13:00,52.5264419,13.4511022
10965,Berlin,Yorckstr.,22,RETAIL_OUTLET,York 22,4335731,[],Mo: 09:00-21:00; Tu: 09:00-21:00; We: 09:00-21:00; Th: 09:00-21:00; Fr: 09:00-21:00; Sa: 09:00-21:00,52.4929306,13.3800807
10999,Berlin,Reichenberger Str.,73a,RETAIL_OUTLET,Lotto,4118455,[],Mo: 09:00-19:00; Tu: 09:00-19:00; We: 09:00-19:00; Th: 09:00-19:00; Fr: 09:00-19:00; Sa: 09:00-16:00; Su: 09:00-14:00,52.4942796,13.4342308
10437,Berlin,Stargarder Str.,61,RETAIL_OUTLET,Star 61,4135055,[],Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 12:00-16:00,52.5454148,13.4211543
10437,Berlin,Gleimstr.,13a,RETAIL_OUTLET,"gleim shop-snacks, drinks and more",4109034,[],Mo: 07:00-22:00; Tu: 07:00-22:00; We: 07:00-22:00; Th: 07:00-22:00; Fr: 07:00-22:00; Sa: 07:00-22:00,52.5470375,13.407223
10247,Berlin,Petersburger Str.,95,RETAIL_OUTLET,Drink Shop Ja Dilo,4339706,[],Mo: 10:00-18:00; Tu: 10:00-18:00; We: 10:00-18:00; Th: 10:00-18:00; Fr: 10:00-18:00; Sa: 10:00-18:00,52.5171608,13.4539871
10961,Berlin,Bergmannstr.,10,RETAIL_OUTLET,Zigarren Lotto Post,4301048,[],Mo: 06:00-20:00; Tu: 06:00-20:00; We: 06:00-20:00; Th: 06:00-20:00; Fr: 06:00-20:00; Sa: 07:00-13:00,52.4895214,13.3898103
